"","-","0","+"
"Bivalves",0,1000,0
"D piscivores",0,1000,0
"Detritus",0,1000,0
"Discards",273,0,727
"Fishery",0,0,1000
"Large pelagics",0,0,1000
"Macrozoop",0,1000,0
"Megabenthos",0,1000,0
"Meiofauna",0,1000,0
"Mesozoop",0,1000,0
"Microflora",0,1000,0
"Microzoop",0,1000,0
"Other molluscs",0,1000,0
"Other pelagic mesopelagic",0,0,1000
"Phytoplankton",0,1000,0
"Sea birds",727,0,273
"Seals",1000,0,0
"Sharks",1000,0,0
"Shrimp",0,1000,0
"Small crab other arthropoda",0,1000,0
"Small pelagics",1000,0,0
"Squids",0,1000,0
"Toothed cetaceans",1000,0,0
"Whales",1000,0,0
"Worms",0,1000,0
